,expediente,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad
253,20064702,TAMSECOX 0.4 MG CAPSULA DE LIBERACIÓN MODIFICADA,NOVAMED S.A.,INVIMA 2016M-0016775,02/01/2016,02/18/2021,Vigente,20064702,5,60.0,CAJA POR 60 CÁPSULAS EN BLISTER PVDC/TE/PVC INCOLORO/ FOIL ALUMINIO. BLISTER POR 10 CÁPSULAS,Activo,04/14/2015,,No,U,G04CA02,TAMSULOSINA,ORAL,A,TAMSULOSINA CLORHIDRATO,mg,0.4,CAPSULA DE LIBERACION MODIFICADA,CAPSULA DE LIBERACION PROLONGADA,C.I. FARMACAPSULAS S.A.,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER
254,20094876,RITOPIN® 200MG/50MG,HETERO LABS LIMITED,INVIMA 2016M-0017278,08/30/2016,09/15/2021,Vigente,20094876,3,60.0,MUESTRA MÉDICA FRASCO DE POLIETILENO DE ALTA DENSIDAD POR 60 TABLETAS RECUBIERTAS.,Activo,03/14/2018,,Si,U,J05AR10,LAPINOVIR Y RITONAVIR,ORAL,A,LOPINAVIR,mg,200.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,HETERO LABS LIMITED -UNIT III,FABRICANTE,IMPORTAR Y VENDER
255,20076204,KETESSE® 50 MG/2 ML INYECTABLE,MENARINI INTERNATIONAL OPERATIONS,INVIMA 2016M-0016834,02/12/2016,03/10/2021,Vigente,20076204,34,6.0,CAJA POR 6 AMPOLLAS DE VIDRIO ÁMBAR TIPO I CON 2 ML DE SOLUCIÓN TRANSPARENTE INCOLORA CON ETIQUETA AUTOADHESIVA Y EN CUNA PLÁSTICA DE PVC SELLADA EN LAMINA EN POLIÉSTER METALIZADO /POLIETILENO,Activo,01/19/2018,,No,U,M01AE17,DEXKETOPROFENO,INTRAVENOSA,A,DEXKETOPROFENO TROMETAMOL EQUIVALENTE A DEXKETOPROFENO,mg,50.0,AMPOLLA DE 2 ML,SOLUCION INYECTABLE,ALFA WASSERMANN S.P.A.,FABRICANTE,IMPORTAR Y VENDER
256,20015777,EXFORGE® HCT 10/320/25 COMPRIMIDOS RECUBIERTOS CON PELÍCULA,NOVARTIS PHARMA A.G.,INVIMA 2015M-0011477-R1,10/14/2010,02/03/2021,Vigente,20015777,2,14.0,CAJA POR 14 TABLETAS CUBIERTAS CON PELÍCULA. EN BLISTER ALUMINIO-(PVC/PVDC) POR 7 TABLETAS CADA UNO.,Inactivo,10/13/2010,07/24/2017,No,U,C09DX01,VALSARTAN. AMLODIPINA E HIDROCLOROTIAZIDA.,ORAL,A,VALSARTÁN,mg,320.0,TABLETA,TABLETA CUBIERTA CON PELICULA,NOVARTIS PHARMA STEIN AG,FABRICANTE,IMPORTAR Y VENDER
257,20043703,VARTERAL HCT NF® 160/10/12.5,PROCAPS S.A,INVIMA 2018M-0013037-R1,04/13/2012,05/08/2023,Vigente,20043703,18,2.0,MUESTRA MEDICA: CAJA POR 2 TABLETAS RECUBIERTAS EN EMPAQUE INDIVIDUAL TIPO BLISTER PVC-PVDC/FOIL ALUMINIO POR 2 TABLETAS RECUBIERTAS C/U,Activo,08/17/2012,,Si,U,C09DX01,VALSARTAN. AMLODIPINA E HIDROCLOROTIAZIDA.,ORAL,A,VALSARTAN,mg,160.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,PROCAPS S.A,FABRICANTE,FABRICAR Y VENDER
258,19950383,DEXTROSA AL 5% EN SODIO CLORURO AL 0.9%,CORPORACIÓN DE FOMENTO ASISTENCIAL DEL HOSPITAL UNIVERSITARIO SAN VICENTE DE PAUL - CORPAUL.,INVIMA 2015M-0003946 R1,11/25/2004,04/24/2020,Vigente,19950383,7,500.0,BOLSA POR 500 ML DE POLIETILENO ATOXICO DE BAJA DENSIDAD (PEBD) CON TAPA CABEZA EURO CON FOIL,Activo,03/01/2018,,No,ml,B05BB02,ELECTROLITOS CON CARBOHIDRATOS,INTRAVENOSA,A,DEXTROSA MONOHIDRATO EQUIVALENTE A DEXTROSA,g,5.0,100 ML DE SOLUCION INYECTABLE,SOLUCION INYECTABLE,CORPORACION DE FOMENTO ASISTENCIAL DEL HOSPITAL UNIVERSITARIO SAN VICENTE DE PAUL - CORPAUL,FABRICANTE,FABRICAR Y VENDER
259,20093306,TIQUEPIN® 25 MG TABLETAS RECUBIERTAS,HETERO LABS LIMITED,INVIMA 2015M-0016664,12/10/2015,02/12/2021,Vigente,20093306,1,30.0,CAJA POR 3 BLÍSTER ALU/ALU (PVC/ALU/OPA) POR 10 UNIDADES,Activo,08/14/2015,,No,U,N05AH04,QUETIAPINA,ORAL,A,QUETIAPINA FUMARATO 28.78 MG  EQUIVALENTE A QUETIAPINA,mg,25.0,TABLETA,TABLETA RECUBIERTA,HETERO LABS LIMITED UNIT V,FABRICANTE,IMPORTAR Y VENDER
260,20044004,CORDIAX AM 80/5 MG TABLETAS,LABORATORIOS SYNTHESIS S.A.S.,INVIMA 2018M-0013859-R1,12/10/2012,05/16/2023,Vigente,20044004,36,30.0,CAJA POR 30 TABLETAS EN BLISTER ALU-ALU /ALU POR 10 TABLETAS.,Activo,11/04/2016,,No,U,C09DB04,TELMISARTAN Y AMLODIPINO,ORAL,A,AMLODIPINO BESILATO 6. 934 MG EQUIVALENTE A AMLODIPINO BASE,mg,5.0,TABLETA,TABLETA RECUBIERTA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER
261,19914092,SEVEDOL ®,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2017M-015027-R2,01/01/1999,06/22/2022,Vigente,19914092,18,96.0,CAJA CON ENVASE PEAD (POLIETILENO DE ALTA DENSIDAD) DE COLOR BLANCO Y TAPA DE POLIPROPILENO (PP) DE COLOR AZUL POR 96 TABLETAS,Activo,10/23/2017,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CAFEINA,mg,65.0,TABLETA,TABLETA,LIANYUNGANG KANGLE PHARMACEUTICAL GO.. LTD,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
262,20031521,CIMOXEN 500 MG TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2016M-0012005-R1,03/24/2011,10/11/2021,Vigente,20031521,14,5.0,CAJA POR 5 TABLETAS RECUBIERTAS EN BLISTER DE PVDC /PE/PVC BLANCO/ALUMINIO POR CINCO TABLETAS,Inactivo,11/06/2015,09/16/2016,No,U,J01MA02,CIPROFLOXACINA,ORAL,A,CIPROFLOXACINO CLORHIDRATO 582.212 MG . EQUIVALENTE A CIPROFLOXACINO BASE,mg,500.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
263,19941934,LINDELLA ®,LABORATORIOS CHALVER DE COLOMBIA S.A.,INVIMA 2014M-0003060-R1,02/02/2004,01/05/2020,Vigente,19941934,5,21.0,MUESTRA MÉDICA: CAJA X 1 BLISTER EN PVC INCOLORO - PAPEL ALUMINIO IMPRESO X 21 TABLETAS (21 TABLETAS X CAJA),Activo,11/25/2014,,Si,U,G03FA11,LEVONORGESTREL Y ESTROGENO,ORAL,A,LEVONORGESTREL,mg,0.15,,TABLETA RECUBIERTA,LABORATORIOS CHALVER DE COLOMBIA S.A.,FABRICANTE,FABRICAR Y VENDER
264,20035343,IRAZEM® 20 MG TABLETAS,LABORATORIOS SIEGFRIED S.A.S,INVIMA 2019M-0012941-R1,02/27/2012,04/05/2024,Vigente,20035343,3,15.0,CAJA POR 1 BLÍSTER EN AL/PVC ACLAR INCOLORO POR 15 TABLETAS,Activo,02/08/2019,,No,U,N05AX12,ARIPIPRAZOL,ORAL,A,ARIPIPRAZOL,mg,20.0,TABLETA,TABLETA,ROEMMERS S.A.I.C.F,FABRICANTE,IMPORTAR Y VENDER
265,19988249,LEMOVIT®C,PROCAPS S.A.,INVIMA 2018M-0011329-R1,05/07/2008,03/26/2023,Vigente,19988249,44,200.0,FRASCO DE PEAD BLANCO CON TAPA AMARILLA  DE POLIPROPILENO X 200 CAPSULAS DURAS.,Activo,02/04/2014,,No,U,A11GA01,ACIDO ASCORBICO (VIT C),ORAL,A,610 MG DE ACIDO ASCORBICO EN MICROGRANULOS. EQUIVALENTE A ACIDO ASCORBICO (VITAMINA C)500 MG. COMPOSICION DE LOS MICROGRANULOS: ACIDO ASCORBICO 500 MG. AZUCAR 52.4993 MG.GOMA LACA 36.5363 MG. ACIDO TARTARICO 11.8534 MG. TALCO 9.1109 MG. ALCOHOL ETILICO *128.0000 MG*SE EVAPORA DURANTE EL PROCESO,-,0.0,CAPSULA DURA,CAPSULA DE LIBERACION PROLONGADA,PROCAPS S.A.,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER
266,20013276,SUGASTRIN SUSPENSION,FARMASER S.A.,INVIMA 2010M-0010839,05/28/2010,06/04/2020,Vigente,20013276,2,360.0,FRASCO BLANCO EN PAD POR 360 ML CON TAPA BLANCA ALUSUD EN PP,Activo,02/08/2010,,No,ml,A02BX02,SUCRALFATE,ORAL,B,SUCRALFATO,g,20.0,100ML DE SUSPENSION,SUSPENSION ORAL,LABORATORIO INTERNACIONAL DE COLOMBIA S.A.S - LABINCO S.A.S,FABRICANTE,FABRICAR Y VENDER
267,20070443,TADALAFILO 20MG,SANDOZ GMBH,INVIMA 2015M-0016053,07/14/2015,08/04/2020,Vigente,20070443,3,4.0,CAJA X 4 TABLETAS EN BLISTER ALUMINIO / ALUMINIO X 4 TABLETAS.,Activo,11/27/2014,,No,U,G04BE08,TADALAFIL,ORAL,A,TADALAFILO ADSORBATO EQUIVALENTE A TADALAFILO,mg,20.0,TABLETA,TABLETA,NOVARTIS DE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
268,20079427,SUNVEPRA® 100MG CÁPSULAS BLANDAS,BRISTOL MYERS SQUIBB DE COLOMBIA S.A.,INVIMA 2015M-0016103,07/27/2015,08/12/2020,Vigente,20079427,2,56.0,MUESTRA MEDICA: CAJA POR 56 CÁPSULAS BLANDAS EN BLÍSTER PVC/ ACLAR - ALUMINIO POR 14 CÁPSULAS BLANDAS CADA BLÍSTER,Activo,07/13/2015,,Si,U,J05AE15,ASUNAPREVIR,ORAL,A,ASUNAPREVIR,mg,100.0,CAPSULA BLANDA,CAPSULA BLANDA,CATALENT PHARMA SOLUTIONS. LLC,FABRICANTE,FABRICAR Y VENDER
269,20099545,ALCADOL®GRIPA,HIGH NUTRITION COMPANY S.A.S.,INVIMA 2015M-0016704,12/15/2015,01/05/2021,Vigente,20099545,10,100.0,CAJA POR 100 CAPSULAS BLANDAS EN BLISTER PVC-PVDC TRANSPARENTE/ ALUMINIO POR 10 CAPSULAS,Activo,12/12/2015,,No,U,M01AE51,IBUPROFEN COMBINACIONES,ORAL,A,FENILEFRINA CLORHIDRATO,mg,10.0,CÁPSULA BLANDA,CAPSULA BLANDA,HIGH NUTRITION COMPANY S.A.S.,IMPORTADOR,IMPORTAR. ENVASAR Y VENDER
270,20010550,RITONAX® TABLETAS RECUBIERTAS,BIOTOSCANA S.A.,INVIMA 2010M-0010623,03/31/2010,04/15/2020,Vigente,20010550,3,30.0,CAJA POR UN FRASCO DE PEAD CON TAPA ROSCA DE PEAD POR 30 TABLETAS,Activo,07/30/2013,,No,U,J05AE03,RITONAVIR,ORAL,A,RITONAVIR,mg,100.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,BIOTOSCANA S.A.,IMPORTADOR,IMPORTAR Y VENDER
271,20138566,ESCITAVITAE® 20MG TABLETAS RECUBIERTAS,GALENICUM HEALTH COLOMBIA S.A.S.,INVIMA 2019M-0018940,04/10/2019,05/03/2024,Vigente,20138566,4,56.0,1E1005031003103 ESCITALOPRAM 20.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (ESCITAVITAE) TABLETA 1.0000U / CAJA X 56. CAJA POR 56 TABLETAS RECUBIERTAS COLOR BLANCO EN BLÍSTER DE PVC/PVDC/PVC TRANSPARENTE Y ALUMINIO.,Activo,10/23/2018,,No,U,N06AB10,ESCITALOPRAM,ORAL,A,ESCITALOPRAM OXALATO 25.55 MG EQUIVALENTE A ESCITALOPRAM,mg,20.0,TABLETA RECUBIERTA COLOR BLANCO,TABLETA RECUBIERTA,GALENICUM HEALTH COLOMBIA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
272,20077138,DROSPERA,EXELTIS S.A.S.,INVIMA 2015M-0016402,10/16/2015,11/03/2020,Vigente,20077138,1,28.0,CAJA POR 1 BLÍSTER DE PVC-PVDC / ALUMINIO CON 21 TABLETAS RECUBIERTAS DE ACTIVO MÁS 7 TABLETAS RECUBIERTAS DE PLACEBO CADA UNO. CADA BLÍSTER CON PORTABLISTER.,Activo,01/29/2015,,No,U,G03AA12,DROSPIRENONA Y ESTROGENO,ORAL,A,DROSPIRENONA,mg,3.0,TABLETA CUBIERTA CON PELÍCULA,TABLETA RECUBIERTA,EXELTIS S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
273,20118036,DAPTOMRED 500 MG/ VIAL,DR. REDDY´S LABORATORIES LIMITED,INVIMA 2018M-0018197,05/09/2018,05/25/2023,Vigente,20118036,1,1.0,CAJA POR 1 VIAL DE VIDRIO TIPO I CLARO. TAPÓN DE BROMOBUTILO GRIS. SELLO DE ALUMINIO Y TAPA FLIP-OFF AZUL,Activo,11/29/2017,,No,U,J01XX09,DAPTOMICINA,INTRAVENOSA,A,DAPTOMICINA,mg,500.0,VIAL,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,DR. REDDY´S LABORATORIES S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
274,20020145,NITAZOXANIDA 500 MG,TECNOQUIMICAS S.A.,INVIMA 2016M-0011617-R1,11/22/2010,05/06/2021,Vigente,20020145,6,21.0,CAJA PLEGADIZA CON 3 BLISTER ALUMINIO/ALUMINIO POR 7 TABLETAS C/U.,Activo,08/02/2010,,No,U,P01AX11,NITAZOXANIDA,ORAL,A,NITAZOXANIDA,mg,500.0,TABLETA CUBIERTA,TABLETA RECUBIERTA,TECNOQUIMICAS S.A.(PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
275,20019330,DESLODEX D JARABE,NOVAMED S.A.,INVIMA 2016M-0011154-R1,07/29/2010,03/03/2021,Vigente,20019330,4,1.0,USO INSTITUCIONAL CAJA CON 1 FRASCO PET AMBAR POR 60 ML,Activo,01/13/2016,,No,U,R01BA03,FENILEFRINA,ORAL,B,DESLORATADINA,mg,25.0,100 ML DE JARABE,JARABE,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
276,20099680,DOLIVIUM® FEM,ICOM INDUSTRIA COLOMBIANA DE MEDICAMENTOS S.A.S,INVIMA 2016M-0016983,04/14/2016,05/02/2021,Vigente,20099680,3,10.0,CAJA POR 10 CÁPSULAS BLANDAS EN BLISTER PVC-PVDC TRANSPARENTE/ ALUMINIO POR 10 CÁPSULAS,Activo,04/13/2016,,No,U,M01AE01,IBUPROFENO,ORAL,A,IBUPROFENO,mg,400.0,CÁPSULA BLANDA,CAPSULA BLANDA,HIGH NUTRITION COMPANY S.A.S.,IMPORTADOR,IMPORTAR. ENVASAR Y VENDER
277,19940076,ESOPRAX ® 40 CAPSULAS,LABORATORIOS LEGRAND S.A.,INVIMA 2014M-0002765-R1,09/17/2003,08/11/2019,Vigente,19940076,47,182.0,USO INSTITUCIONAL: CAJA X 182 CÁPSULAS EN BLISTER OPA/AL/PVC-ALUMINIO.,Activo,06/24/2015,,No,U,A02BC05,ESOMEPRAZOL,ORAL,A,ESOMEPRAZOL MAGNÉSICO TRIHIDRATO MICROGRÁNULOS AL 22.5% EQUIVALENTE A ESOMEPRAZOL,mg,40.0,CÁPSULA,CAPSULA DURA,LABORATORIOS LEGRAND S.A.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
278,19908844,CETROTIDE® 0.25MG,MERCK S.A.,INVIMA 2015M-014620-R2,01/01/1999,12/04/2020,Vigente,19908844,1,1.0,CAJA X 1 BLISTER CON FRASCO VIAL + JERINGA PRELLENADA CON 1 ML. DE AGUA PARA INYECCION +1 AGUJA PARA INYECCION + 2 PAŃITOS,Activo,11/10/2006,,No,U,H01CC02,CETRORELIX,SUBCUTANEA,A,CETRORELIX ACETATO EQUIVALENTE A CETRORELIX,mg,0.25,FRASCO VIAL,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,BAXTER ONCOLOGY GMBH,FABRICANTE,IMPORTAR Y VENDER
279,19963117,BONDIGEST® 5 MG,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2017M-0005600-R1,04/10/2006,06/09/2022,Vigente,19963117,1,3.0,MUESTRA MÉDICA: CAJA X 3 TABLETAS EN BLISTER PVC TRANSPARENTE - ESTUCHE DE CARTULINA ESMALTADA,Inactivo,02/06/2007,05/11/2017,Si,U,A03FA99,MOSAPRIDA,ORAL,A,MOSAPRIDA CITRATO,mg,5.0,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
280,19988249,LEMOVIT®C,PROCAPS S.A.,INVIMA 2018M-0011329-R1,05/07/2008,03/26/2023,Vigente,19988249,18,150.0,FRASCO DE PEAD BLANCO CON TAPA BLANCA DE POLIPROPILENO X 150 CAPSULAS DURAS.,Activo,02/03/2014,,No,U,A11GA01,ACIDO ASCORBICO (VIT C),ORAL,A,610 MG DE ACIDO ASCORBICO EN MICROGRANULOS. EQUIVALENTE A ACIDO ASCORBICO (VITAMINA C)500 MG. COMPOSICION DE LOS MICROGRANULOS: ACIDO ASCORBICO 500 MG. AZUCAR 52.4993 MG.GOMA LACA 36.5363 MG. ACIDO TARTARICO 11.8534 MG. TALCO 9.1109 MG. ALCOHOL ETILICO *128.0000 MG*SE EVAPORA DURANTE EL PROCESO,-,0.0,CAPSULA DURA,CAPSULA DE LIBERACION PROLONGADA,OSMOPHARM S.A,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
281,19997167,XEROGRAS 120 MG CAPSULAS,GALENO QUIMICA S.A.,INVIMA 2009M-0009792,07/01/2009,07/24/2019,Vigente,19997167,5,42.0,CAJA POR 42 CAPSULAS EN BLISTER DE PVDC TRANSPARENTE/ALUMINIO,Activo,10/30/2008,,No,U,A08AB01,ORLISTAT,ORAL,A,ORLISTAT,%,50.0,CAPSULA,CAPSULA DURA,MURLY KRISHNA PHARMA PVT LTD.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
282,20099302,DEXAMETASONA FOSFATO SOLUCION INYECTABLE 8 MG/2ML.,GENFAR S.A.,INVIMA 2016M-0017301,09/05/2016,09/20/2021,Vigente,20099302,13,200.0,USO INSTITUCIONAL:CAJA POR 200 AMPOLLAS DE VIDRIO TIPO 1 POR 2 ML,Activo,10/10/2016,,No,U,H02AB02,DEXAMETASONA,INTRAMUSCULAR,A,DEXAMETASONA FOSFATO SODICO 8.745 MG EQUIVALENTE A DEXAMETASONA FOSFATO,mg,8.0,AMPOLLA DE 2 ML,SOLUCION INYECTABLE,GENFAR S.A.,FABRICANTE,FABRICAR Y VENDER
283,20021844,DERMOVATE® UNGÜENTO,GLAXOSMITHKLINE COLOMBIA S.A.,INVIMA 2017M-0012157-R1,05/12/2011,09/18/2022,Vigente,20021844,1,1.0,CAJA PLEGADIZA CON UN TUBO COLAPSIBLE DE ALUMINIO CON TAPA DE POLIETILENO X 15G + INSERTO,Activo,10/29/2010,,No,U,D07AD01,CLOBETASOL,TOPICA (EXTERNA),D,PROPIONATO DE CLOBETASOL,g,0.05,CADA 100 G DE UNGÜENTO,UNGUENTO TOPICO,GLAXOSMITHKLINE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
284,19965864,NEO ZENTIUS 10 MG,SCANDINAVIA PHARMA LTDA.,INVIMA 2016M-0005665-R1,04/27/2006,11/15/2021,Vigente,19965864,2,14.0,CAJA POR 14 TABLETAS RECUBIERTAS CON BLISTER DE ALUMINIO - PVC/PE/PVDC,Activo,04/20/2007,,No,U,N06AB10,ESCITALOPRAM,ORAL,A,ESCITALOPRAM OXALATO 12.77MG EQUIVALENTE A ESCITALOPRAM,mg,10.0,TABLETA RECUBIERTA,TABLETA CUBIERTA CON PELICULA,ROEMMERS S.A,FABRICANTE,IMPORTAR Y VENDER
285,19997167,XEROGRAS 120 MG CAPSULAS,GALENO QUIMICA S.A.,INVIMA 2009M-0009792,07/01/2009,07/24/2019,Vigente,19997167,11,50.0,CAJA PLEGADIZA POR 50 CÁPSULAS. EN BLISTER PVDC TRANSPARENTE / ALUMINIO.,Activo,04/16/2018,,No,U,A08AB01,ORLISTAT,ORAL,A,ORLISTAT,%,50.0,CAPSULA,CAPSULA DURA,LABORATORIOS LA SANTÉ S.A.,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
286,20043072,CORDIAX AM 40/ 5 MG TABLETAS,LABORATORIOS SYNTHESIS S.A.S.,INVIMA 2018M-0013925-R1,12/10/2012,05/10/2023,Vigente,20043072,8,60.0,CAJA PLEGADIZA POR 60 TABLETAS EN BLISTER ALU-ALU/ALUMINIO,Activo,02/14/2012,,No,U,C09DB04,TELMISARTAN Y AMLODIPINO,ORAL,A,AMLODIPINO BESILATO 6.934MG. EQUIVALENTE A AMLODIPINO BASE,mg,5.0,SIN DATO,TABLETA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.,FABRICANTE,FABRICAR Y VENDER
287,42698,CARBAMAZEPINA 2% SUSPENSIÓN,TECNOFAR TQ S.A.S,INVIMA 2015 M-014599-R2,03/14/1994,08/28/2020,Vigente,42698,4,200.0,FRASCO ÁMBAR PET POR 200 ML,Inactivo,04/26/2007,09/01/2011,No,ml,N03AF01,CARBAMAZEPINA,ORAL,B,CARBAMAZEPINA,g,2.0,100ML DE SUSPENSIÓN,SUSPENSION ORAL,TECNOFAR TQ S.A.S,FABRICANTE,FABRICAR Y VENDER
288,20061325,NEOSTIGMINA PARA INYECCIÓN 0.5 MG/ML,ACULIFE HEALTHCARE PRIVATE LIMITED,INVIMA 2014M-0015087,06/13/2014,07/25/2019,Vigente,20061325,1,50.0,CAJA X 10 BLISTER X 5 AMPOLLAS DE VIDRIO TIPO I EN BLISTER C/U (CAJA X 50 AMPOLLAS),Activo,09/20/2013,,No,U,N07AA01,NEOSTIGMINA,INTRAVENOSA,A,NEOSTIGMINA METILSULFATO,mg,0.5,ML,SOLUCION INYECTABLE,ACULIFE HEALTHCARE PRIVATE LIMITED,FABRICANTE,IMPORTAR Y VENDER
289,19914092,SEVEDOL ®,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2017M-015027-R2,01/01/1999,06/22/2022,Vigente,19914092,7,30.0,CAJA CON ENVASE PEAD (POLIETILENO DE ALTA DENSIDAD) DE COLOR BLANCO Y TAPA DE POLIPROPILENO (PP) DE COLOR AZUL POR 30 TABLETAS,Activo,11/10/2006,,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,ACETAMINOFEN COMPRESION DIRECTA 90% 277.78 MG EQUIVALENTE A ACETAMINOFEN,mg,250.0,TABLETA,TABLETA,NOVACYL (THAILAND)LTD,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
290,227312,EFEXOR® XR 150 MG. CAPSULAS DE LIBERACIÓN PROLONGADA,PFIZER S.A.S.,INVIMA 2019M-011741-R2,10/14/1998,03/27/2024,Vigente,227312,48,98.0,MUESTRA MÉDICA PARA EL PRODUCTO DE LA REFERENCIA: CAJA POR 98 CÁPSULAS EN BLISTER PVC/PE/ACLAR/ALUMINIO.,Inactivo,11/19/2012,03/04/2019,Si,U,N06AX16,VENLAFAXINA,ORAL,A,VENLAFAXINA (COMO CLORHIDRATO DE VENLAFAXINA),mg,150.0,CAPSULA,CAPSULA DE LIBERACION PROLONGADA,PFIZER IRELAND PHARMACEUTICALS,FABRICANTE,IMPORTAR Y VENDER
291,20076204,KETESSE® 50 MG/2 ML INYECTABLE,MENARINI INTERNATIONAL OPERATIONS,INVIMA 2016M-0016834,02/12/2016,03/10/2021,Vigente,20076204,74,3.0,MUESTRA MEDICA:CAJA POR 3 AMPOLLAS SERIGRABADAS DE VIDRIO ÁMBAR TIPO I CON 2 ML DE SOLUCIÓN TRANSPARENTE INCOLORA EN CUNA PLÁSTICA DE PVC.,Activo,01/19/2018,,No,U,M01AE17,DEXKETOPROFENO,INTRAVENOSA,A,DEXKETOPROFENO TROMETAMOL EQUIVALENTE A DEXKETOPROFENO,mg,50.0,AMPOLLA DE 2 ML,SOLUCION INYECTABLE,A. MENARINI LATIN AMÉRICA. S.L.U.,IMPORTADOR,IMPORTAR Y VENDER
292,20100456,RELVAR® ELLIPTA ® 200MCG/25MCG POLVO PARA INHALACIÓN,GLAXOSMITHKLINE COLOMBIA S.A.,INVIMA 2018M-0018199,05/09/2018,05/25/2023,Vigente,20100456,2,1.0,2F100558/1000/102 MUESTRA MÉDICA: CAJA POR UN INHALADOR CONTENIENDO UN MECANISMO DE BLISTER DOBLE DE FOIL LAMINADO CON 14 DOSIS USANDO COMO EMPAQUE SECUNDARIO UNA BANDEJA DE POLIPROPILENO SELLADA CON FOIL LAMINADO CONTENIENDO ADICIONALMENTE SILICA GEL COMO DESECANTE CONTENIENDO ADICIONALMENTE SILICA GEL COMO DESECANTE CONTENIDO EN UN EMPAQUE DE POLIETILENO DE ALTA DENSIDAD (HPDE),Activo,04/06/2018,,Si,U,R03AK10,VILANTEROL Y FUROATO DE FLUTICASONA,INHALACION,A,FUROATO DE FLUTICASONA MICRONIZADO 200MCG (CADA DOSIS PREDISPENSADA CONTIENE FUROATO DE FLUTICASONA),ug,184.0,DOSIS PREDISPENSADA,POLVO PARA INHALACION,GLAXO OPERATIONS UK,FABRICANTE,IMPORTAR Y VENDER
293,20060310,LAMOTRIGINA POR 200MG,TECNOQUIMICAS S.A.,INVIMA 2014M-0015329,10/14/2014,11/10/2019,Vigente,20060310,38,21.0,CAJA POR 21TABLETAS EN 3 BLISTER PVC/PE/PVDC-ALUMINIO POR 7 TABLETAS.,Activo,04/09/2014,,No,U,N03AX09,LAMOTRIGINA,ORAL,A,LAMOTRIGINA,mg,200.0,TABLETA DISPERSABLE,TABLETA DISPERSABLE,TECNOQUIMICAS S.A. PLANTA JAMUNDI,FABRICANTE,FABRICAR Y VENDER
294,20130630,IPCA ZITRAM,IPCA LABORATORIES LIMITED,INVIMA 2019M-0018694,01/08/2019,01/22/2024,Vigente,20130630,15,4.0,MUESTRA MEDICA-CAJA POR 4 TABLETAS RECUBIERTAS EN BLISTER PVDC/ALUMINIO,Activo,12/27/2018,,Si,U,N02AX52,TRAMADOL COMBINACIONES,ORAL,A,TRAMADOL CLORHIDRATO,mg,37.5,TABLETA RECUBIERTA,TABLETA RECUBIERTA,IPCA LABORATORIES LIMITED SUCURSAL COLOMBIA,IMPORTADOR,IMPORTAR Y VENDER
